Product Code,Product Name,Product Description,Stock,Cost in GBP,Discontinued
P0001,TV,32” Tv,1,0.99,
P0002,Cd Player,Nice CD player,11,50.12,yes
P0003,VCR,Top notch VCR,12,39.33,yes
P0004,Bluray Player,Watch it in HD,1,24.55,
P0005,XBOX360,Best.console.ever,20,30.44,
P0006,PS3,Mind your details,3,24.99,
P0007,24” Monitor,Awesome,,35.99,
P0008,CPU,Speedy,12,25.43,
P0009,Harddisk,Great for storing data,0,99.99,
P0010,CD Bundle,Lots of fun,0,10,
P0011,Misc Cables,error in export,,,
P0012,TV,HD ready,45,50.55,
P0013,Cd Player,Beats MP3,34,27.99,
P0014,VCR,VHS rules,3,23,yes
P0015,Bluray Player,Excellent picture,32,$4.33,
P0015,Bluray Player,Excellent picture,32,4.33,
P0016,24” Monitor,Visual candy,3,45,
P0017,CPU,Processing power, ideal for multimedia,4,4.22
P0018,Harddisk,More storage options,34,50,yes
P0019,CD Bundle,Store all your data. Very convenient,23,3.44,
P0020,Cd Player,Play CD's,56,30,
P0021,VCR,Watch all those retro videos,12,3.55,yes
P0022,Bluray Player,The future of home entertainment!,45,3,
P0023,XBOX360,Amazing,23,50,
P0024,PS3,Just don't go online,22,24.33,yes
P0025,TV,Great for television,21,40,
P0026,Cd Player,A personal favourite,0,34.55,
P0027,VCR,Plays videos,34,1200.03,yes
P0028,Bluray Player,Plays bluray's,32,1100.04,yes
P0029,Misc Cables,Lots of fun,23,45,yes
P0030,TV,error in export,56,50,
P0031,Cd Player,HD ready,12,3.44,
P0032,VCR,Beats MP3,45,30,yes
P0033,Bluray Player,VHS rules,23,3.55,
P0034,TV,32” Tv,10,399.99,
P0035,Cd Player,Nice CD player,11,50.12,yes
P0036,VCR,Top notch VCR,12,39.33,yes
P0037,Bluray Player,Watch it in HD,1,24.55,
P0038,XBOX360,Best.console.ever,20,30.44,
P0039,PS3,Mind your details,3,24.99,
P0040,24” Monitor,Awesome,,35.99,
P0041,CPU,Speedy,,,
P0042,Harddisk,Great for storing data,0,99.99,
P0043,CD Bundle,Lots of fun,0,10,
P0044,Misc Cables,error in export,,,
P0045,TV,HD ready,45,50.55,
P0046,Cd Player,Beats MP3,34,27.99,
P0047,VCR,VHS rules,3,23,yes
P0048,Bluray Player,Excellent picture,32,$4.33,
